year,region,month,billings_thousand_usd
1991,Worldwide,November,4592019
1991,Worldwide,December,4704019
1992,Americas,January,1283004
1992,Americas,February,1305160
1992,Americas,March,1606288
1992,Americas,April,1377033
1992,Americas,May,1386386
1992,Americas,June,1627983
1992,Americas,July,1417599
1992,Americas,August,1490870
1992,Americas,September,1811903
1992,Americas,October,1560184
1992,Americas,November,1657251
1992,Americas,December,1887095
1992,Asia Pacific,January,720399
1992,Asia Pacific,February,735101
1992,Asia Pacific,March,848402
1992,Asia Pacific,April,769133
1992,Asia Pacific,May,846552
1992,Asia Pacific,June,964585
1992,Asia Pacific,July,844812
1992,Asia Pacific,August,868982
1992,Asia Pacific,September,1018271
1992,Asia Pacific,October,912614
1992,Asia Pacific,November,993549
1992,Asia Pacific,December,1065256
1992,Europe,January,865778
1992,Europe,February,865850
1992,Europe,March,1007745
1992,Europe,April,848457
1992,Europe,May,867857
1992,Europe,June,1025466
1992,Europe,July,834451
1992,Europe,August,883351
1992,Europe,September,1188526
1992,Europe,October,1006966
1992,Europe,November,1020525
1992,Europe,December,1055456
1992,Japan,January,1546622
1992,Japan,February,1510697
1992,Japan,March,1516198
1992,Japan,April,1439648
1992,Japan,May,1462557
1992,Japan,June,1689422
1992,Japan,July,1781775
1992,Japan,August,1596386
1992,Japan,September,1840636
1992,Japan,October,1754525
1992,Japan,November,1658238
1992,Japan,December,1599414
1992,Worldwide,January,4415803
1992,Worldwide,February,4416808
1992,Worldwide,March,4978633
1992,Worldwide,April,4434271
1992,Worldwide,May,4563352
1992,Worldwide,June,5307456
1992,Worldwide,July,4878637
1992,Worldwide,August,4839589
1992,Worldwide,September,5859336
1992,Worldwide,October,5234289
1992,Worldwide,November,5329563
1992,Worldwide,December,5607221
1993,Americas,January,1576795
1993,Americas,February,1783951
1993,Americas,March,2201464
1993,Americas,April,1815346
1993,Americas,May,1898999
1993,Americas,June,2379808
1993,Americas,July,1854456
1993,Americas,August,2039793
1993,Americas,September,2539367
1993,Americas,October,2015423
1993,Americas,November,2136193
1993,Americas,December,2502413
1993,Asia Pacific,January,855980
1993,Asia Pacific,February,1010749
1993,Asia Pacific,March,1167016
1993,Asia Pacific,April,1094295
1993,Asia Pacific,May,1116039
1993,Asia Pacific,June,1259364
1993,Asia Pacific,July,1207058
1993,Asia Pacific,August,1266067
1993,Asia Pacific,September,1409681
1993,Asia Pacific,October,1205876
1993,Asia Pacific,November,1261237
1993,Asia Pacific,December,1314929
1993,Europe,January,936794
1993,Europe,February,1048188
1993,Europe,March,1317355
1993,Europe,April,1105437
1993,Europe,May,1174687
1993,Europe,June,1351115
1993,Europe,July,1085722
1993,Europe,August,1110055
1993,Europe,September,1480152
1993,Europe,October,1276641
1993,Europe,November,1339624
1993,Europe,December,1373228
1993,Japan,January,1473117
1993,Japan,February,1582069
1993,Japan,March,1759146
1993,Japan,April,1810633
1993,Japan,May,1848633
1993,Japan,June,2187141
1993,Japan,July,2217725
1993,Japan,August,2104810
1993,Japan,September,2353363
1993,Japan,October,2175919
1993,Japan,November,2178841
1993,Japan,December,2106991
1993,Worldwide,January,4842686
1993,Worldwide,February,5424957
1993,Worldwide,March,6444981
1993,Worldwide,April,5825711
1993,Worldwide,May,6038358
1993,Worldwide,June,7177428
1993,Worldwide,July,6364959
1993,Worldwide,August,6520724
1993,Worldwide,September,7782563
1993,Worldwide,October,6673859
1993,Worldwide,November,6915895
1993,Worldwide,December,7297560
1994,Americas,January,2195094
1994,Americas,February,2336042
1994,Americas,March,2775581
1994,Americas,April,2508645
1994,Americas,May,2514867
1994,Americas,June,3051443
1994,Americas,July,2462960
1994,Americas,August,2825889
1994,Americas,September,3425229
1994,Americas,October,2986537
1994,Americas,November,2962800
1994,Americas,December,3516499
1994,Asia Pacific,January,1282828
1994,Asia Pacific,February,1262962
1994,Asia Pacific,March,1543314
1994,Asia Pacific,April,1460412
1994,Asia Pacific,May,1515274
1994,Asia Pacific,June,1733660
1994,Asia Pacific,July,1537993
1994,Asia Pacific,August,1645354
1994,Asia Pacific,September,1857564
1994,Asia Pacific,October,1672517
1994,Asia Pacific,November,1752811
1994,Asia Pacific,December,1909684
1994,Europe,January,1291004
1994,Europe,February,1357721
1994,Europe,March,1589355
1994,Europe,April,1462097
1994,Europe,May,1478946
1994,Europe,June,1807893
1994,Europe,July,1398823
1994,Europe,August,1509781
1994,Europe,September,2025441
1994,Europe,October,1870808
1994,Europe,November,1939709
1994,Europe,December,2004707
1994,Japan,January,1898178
