iso3,country,year,gdp_current_usd,gdp_growth_pct,inflation_cpi_pct
DEU,Germany,1987,1302932318824.81,1.4021515883601,0.24990610870503
DEU,Germany,1988,1406367016371.53,3.70723567991882,1.27411894006923
DEU,Germany,1989,1404092925205.45,3.89655170553733,2.78056955569751
DEU,Germany,1990,1778162195860.07,5.25500610110028,2.69646824292392
DEU,Germany,1991,1875792575132.59,5.10826150190911,4.04703259753466
DEU,Germany,1992,2141377582968.07,2.01361340926105,5.05697796731731
DEU,Germany,1993,2078954217437.6,-0.973033082340891,4.47457650752808
DEU,Germany,1994,2215282632276.73,2.59685569693275,2.69305639854954
DEU,Germany,1995,2593053091306.13,1.50499384201356,1.70616041317076
DEU,Germany,1996,2506576553158.31,1.0378755674358,1.44972701963239
DEU,Germany,1997,2218790886532.82,1.85432238398302,1.93936968221574
DEU,Germany,1998,2247760364565.97,2.09561231172233,0.911184687196224
DEU,Germany,1999,2213873468586.88,2.12957016297766,0.585434192138622
DEU,Germany,2000,1966980701145.1,2.8765231247659,1.44026838719741
DEU,Germany,2001,1966381496641.73,1.63614170690956,1.98385731334471
DEU,Germany,2002,2102350798305.89,-0.228255715793637,1.42080615551526
DEU,Germany,2003,2534715518349.01,-0.529801394291297,1.03422218628562
DEU,Germany,2004,2852317768061.78,1.16208684507278,1.66573696655992
DEU,Germany,2005,2893393187361.87,0.885485292551564,1.54691114751328
DEU,Germany,2006,3046308753670.58,3.86668241523209,1.57742642840563
DEU,Germany,2007,3484056680854.91,2.8891174138025,2.29834400700951
DEU,Germany,2008,3808197720125,0.887902330743628,2.62837981637219
DEU,Germany,2009,3478545516683.59,-5.54455451920674,0.312739007368447
DEU,Germany,2010,3467093769666.67,4.13463778522758,1.1038103778926
DEU,Germany,2011,3823575803793.78,3.75796884489337,2.07517283735874
DEU,Germany,2012,3596483233406.25,0.463512036709204,2.00848884782956
DEU,Germany,2013,3807023797050.99,0.396995583779145,1.50472330251876
DEU,Germany,2014,3964870735760.77,2.18018602168017,0.906794000434246
DEU,Germany,2015,3425099578746.09,1.66300602334775,0.514426137125456
DEU,Germany,2016,3536787895179,2.22222216259371,0.491747008445174
DEU,Germany,2017,3765351626105.89,2.797906720551,1.50949485109628
DEU,Germany,2018,4055433215301.96,1.13569604599849,1.73216879766942
DEU,Germany,2019,3959894794039.21,0.977734697038784,1.44565976888253
DEU,Germany,2020,3941398957073.94,-4.13191443239947,0.144877925813982
DEU,Germany,2021,4355251953410.78,3.90999994204108,3.06666666666673
DEU,Germany,2022,4201021706478.62,1.8092581243061,6.87257438551097
DEU,Germany,2023,4562207532490.28,-0.869647578573321,5.94643667725823
DEU,Germany,2024,4685592577804.69,-0.495851897260366,2.2564981433876
DEU,Germany,2025,5050922925047.05,0.239578342117881,2.17178770949721
JPN,Japan,1986,2164729071349.48,3.32652561623384,0.595586799453249
JPN,Japan,1987,2635094473494.08,4.73066586040017,0.126176841696583
JPN,Japan,1988,3191546727316.14,6.78502010955764,0.678557580457558
JPN,Japan,1989,3174934735895.64,4.85803768615389,2.27228962064317
JPN,Japan,1990,3252994239867.4,4.89271306574565,3.0785162869516
JPN,Japan,1991,3724887648862.31,3.41749676183089,3.25143848753308
JPN,Japan,1992,4064529567505.43,0.848069581218368,1.7602830605927
JPN,Japan,1993,4632480515091.13,-0.517919847117952,1.24304589707924
JPN,Japan,1994,5104063486348.4,0.99306636322622,0.695458057869004
JPN,Japan,1995,5639649753985.77,2.34205546196849,-0.127899045020446
JPN,Japan,1996,5021441618840.38,3.07546731409349,0.136600358575909
JPN,Japan,1997,4579780793431.57,1.36297109407448,1.74780458692133
JPN,Japan,1998,4150359076370.48,-1.77264091037956,0.661974191385911
JPN,Japan,1999,4688983449627.24,-0.347600398675738,-0.341296928327554
JPN,Japan,2000,5042381838343.44,2.97832688768516,-0.676578683595175
JPN,Japan,2001,4438792748062.4,0.284608556379041,-0.740055504162738
JPN,Japan,2002,4245946980572.3,0.0849888050363319,-0.923494026942321
JPN,Japan,2003,4573413206709.02,1.38010935830795,-0.256541816316025
JPN,Japan,2004,4941485123806.53,2.11294823723127,-0.00857338820310272
JPN,Japan,2005,4875648486366.14,1.8482813374834,-0.282946068764391
JPN,Japan,2006,4648058930707.24,1.54630843078741,0.249355116079085
JPN,Japan,2007,4624670179654.96,1.72837912865577,0.060039454498669
JPN,Japan,2008,5160197175876.43,-1.16662209355141,1.3800788616492
JPN,Japan,2009,5336765697589.29,-5.9359411383964,-1.35283672951719
JPN,Japan,2010,5811578109447.07,4.13645589222239,-0.728243207517779
JPN,Japan,2011,6279422550218.7,-0.20035785332982,-0.27245561610124
JPN,Japan,2012,6333803928787.76,1.64893452981225,-0.0440645104432602
JPN,Japan,2013,5272297037396.96,1.99727653399265,0.335037912184741
JPN,Japan,2014,4985763289560.81,0.905915486065865,2.75922671353253
JPN,Japan,2015,4534438580494.94,1.79997735783475,0.795279630579839
JPN,Japan,2016,5110357383254.44,0.704986495111257,-0.127258844489754
JPN,Japan,2017,5038231631660.71,1.62345062245441,0.484199796126385
JPN,Japan,2018,5154293721629.56,0.834143845965585,0.989094598021848
JPN,Japan,2019,5245755000479.03,-0.308496921143259,0.46877615938395
JPN,Japan,2020,5189197543645.38,-4.28327942675573,-0.024995834027731
JPN,Japan,2021,5225933520753.1,3.56419531474475,-0.233352779398264
JPN,Japan,2022,4447976207314.78,1.33164750653741,2.49770278172255
JPN,Japan,2023,4384854269961.93,0.720785304749811,3.26813365933163
JPN,Japan,2024,4190008188358.57,-0.240084236041696,2.73853681635241
JPN,Japan,2025,4435162999976.94,1.19311288444599,3.17253034260248
KOR,"Korea, Rep.",1986,119965960795.24,11.50298504807,2.74998096063358
KOR,"Korea, Rep.",1987,152240393645.506,12.8922089918574,3.04966077087423
KOR,"Korea, Rep.",1988,205477530605.222,12.1331951107172,7.14609773721605
KOR,"Korea, Rep.",1989,254236243100.439,7.16501737923842,5.70016544561401
KOR,"Korea, Rep.",1990,292064221388.988,10.0248996213899,8.57327225728677
KOR,"Korea, Rep.",1991,340851946803.812,10.8749739277708,9.33279048161495
KOR,"Korea, Rep.",1992,366921291824.719,6.35159199606441,6.21328146355184
KOR,"Korea, Rep.",1993,405705302846.447,6.99471791742556,4.80099660215354
KOR,"Korea, Rep.",1994,479181794216.859,9.3718357757101,6.26585950039679
KOR,"Korea, Rep.",1995,586286469400.665,9.7358937505409,4.48074108557248
KOR,"Korea, Rep.",1996,631196863758.281,7.99042982526839,4.92454354292754
KOR,"Korea, Rep.",1997,589202526424.141,6.2821926537929,4.4389318457463
KOR,"Korea, Rep.",1998,397297216492.19,-4.9389297463141,7.51358008079307
KOR,"Korea, Rep.",1999,515697079289.011,11.6172629559591,0.81295725444637
KOR,"Korea, Rep.",2000,597487173479.109,9.2018583880479,2.25916580080157
KOR,"Korea, Rep.",2001,567564806235.441,4.72593560322356,4.06657587897792
KOR,"Korea, Rep.",2002,650014391470.21,7.74399895319569,2.76226210296599
KOR,"Korea, Rep.",2003,728516494684.269,3.07472661826947,3.51487451459939
KOR,"Korea, Rep.",2004,823251107638.814,5.1836368597334,3.59066298882578
KOR,"Korea, Rep.",2005,971740329983.878,4.35823667337156,2.75379162735039
KOR,"Korea, Rep.",2006,1095175538508.19,5.24500550580342,2.24234028518921
KOR,"Korea, Rep.",2007,1220911904593.06,5.8419633918717,2.53457382137932
KOR,"Korea, Rep.",2008,1091580692542.34,3.00440451679569,4.67389655533408
KOR,"Korea, Rep.",2009,983065242417.36,0.81986175641795,2.7564965449393
KOR,"Korea, Rep.",2010,1192830015737.68,6.98166138853071,2.93928652655686
KOR,"Korea, Rep.",2011,1307103477219.1,3.6880320602952,4.0259650043609
KOR,"Korea, Rep.",2012,1335343586437.67,2.54766550568242,2.18707104433314
KOR,"Korea, Rep.",2013,1434669686501.84,3.2913959543442,1.30134754547413
KOR,"Korea, Rep.",2014,1556252422020.44,3.21468019683108,1.27477446401322
KOR,"Korea, Rep.",2015,1539212301135.55,2.92029267301234,0.70633177245575
KOR,"Korea, Rep.",2016,1579150518945.44,3.17152748983935,0.971685739912168
KOR,"Korea, Rep.",2017,1710196756713.17,3.433191763972,1.94433230786366
KOR,"Korea, Rep.",2018,1824251454306.83,3.17611568177327,1.47583935002645
KOR,"Korea, Rep.",2019,1751045752054.63,2.31380210595475,0.383000303608136
KOR,"Korea, Rep.",2020,1744070276373.34,-0.700242317542106,0.537288023411737
KOR,"Korea, Rep.",2021,1942313560965.9,4.61296795454287,2.49833333333339
KOR,"Korea, Rep.",2022,1799363116866.52,2.72756456708991,5.08951365062842
KOR,"Korea, Rep.",2023,1844800934391.54,1.58301467403629,3.5974562502901
KOR,"Korea, Rep.",2024,1875388209406.8,2.00361101838986,2.32174328643542
KOR,"Korea, Rep.",2025,1872374961553.15,1.00701840291242,2.12309421458659
USA,United States,1986,4579631000000,3.46265504522061,1.89804772234276
USA,United States,1987,4855215000000,3.45462966441372,3.6645632175169
USA,United States,1988,5236438000000,4.17698239478443,4.07774110744413
USA,United States,1989,5641580000000,3.67223784138015,4.82700303008944
USA,United States,1990,5963144000000,1.88596557755378,5.39795643990325
USA,United States,1991,6158129000000,-0.108312873733027,4.23496396453849
USA,United States,1992,6520327000000,3.52249717254271,3.02881967814969
USA,United States,1993,6858559000000,2.75179586314481,2.95165696638559
USA,United States,1994,7287236000000,4.02902272637739,2.60744159215453
USA,United States,1995,7639749000000,2.68443073970295,2.80541968853662
USA,United States,1996,8073122000000,3.77277269047364,2.93120419993441
USA,United States,1997,8577552000000,4.44712793442667,2.33768993730735
USA,United States,1998,9062817000000,4.48313335499124,1.55227909874364
USA,United States,1999,9631172000000,4.78842504836746,2.18802719697358
USA,United States,2000,10250952000000,4.07758575997799,3.37685727149929
USA,United States,2001,10581929000000,0.955538337599847,2.82617111885407
USA,United States,2002,10929108000000,1.70044733078285,1.58603162650601
USA,United States,2003,11456450000000,2.79560596378604,2.27009497336115
USA,United States,2004,12217196000000,3.84777169267127,2.67723669309172
USA,United States,2005,13039197000000,3.48354993710312,3.3927468454955
USA,United States,2006,13815583000000,2.78453963674239,3.22594410070404
USA,United States,2007,14474228000000,2.0038583039496,2.85267248150138
USA,United States,2008,14769862000000,0.113587247501258,3.839100296651
USA,United States,2009,14478067000000,-2.5765002366652,-0.355546266299747
USA,United States,2010,15048971000000,2.69519258673525,1.6400434423899
USA,United States,2011,15599732000000,1.56440685205419,3.156841568622
USA,United States,2012,16253970000000,2.28911339009767,2.06933726526067
USA,United States,2013,16880683000000,2.11783009443471,1.46483265562717
USA,United States,2014,17608138000000,2.52381981757846,1.62222297740817
USA,United States,2015,18295019000000,2.94555045227337,0.118627135552451
USA,United States,2016,18804913000000,1.81945147909089,1.26158320570536
USA,United States,2017,19612102000000,2.45762230126449,2.13011000365961
USA,United States,2018,20656516000000,2.96650506701943,2.44258329692817
USA,United States,2019,21539982000000,2.58382533052225,1.81221007526021
USA,United States,2020,21375281000000,-2.081375977796,1.23358439630629
USA,United States,2021,23725645000000,6.15202247867526,4.69785886363742
USA,United States,2022,26054614000000,2.52421385073222,8.00279982052121
USA,United States,2023,27811517000000,2.93436322440155,4.11633838374488
USA,United States,2024,29298013000000,2.79318715363841,2.94952520485207
USA,United States,2025,30769700000000,2.16138195623856,
WLD,World,1986,15397826688510.3,3.30504727863539,5.82266576732484
WLD,World,1987,17532755119890.9,3.75140720504533,5.71011938486679
WLD,World,1988,19597682774627.7,4.52917512483202,7.11340652931347
WLD,World,1989,20467635430294.5,3.63824326258279,6.92390503711238
WLD,World,1990,22991895905266.2,2.70835661034906,8.06346090938833
WLD,World,1991,23998499386379.8,1.22518126757618,8.99693873494331
WLD,World,1992,25631432757013.7,2.06322489260802,7.63610852336974
WLD,World,1993,26071136171460.6,1.85802699127092,7.14458706876257
WLD,World,1994,28066274308784.1,3.41622758531712,10.2479355556119
WLD,World,1995,31338014339198.1,3.17807321635462,9.07738095238091
WLD,World,1996,32064860700885.1,3.58623401800118,6.52609569372579
WLD,World,1997,31954804098164.9,3.99678915639295,5.55412988949405
WLD,World,1998,31780795899557.2,2.78125282205437,5.09729149331442
WLD,World,1999,32829035976968.2,3.57856819120765,3.04194667094533
WLD,World,2000,33965806441911.9,4.56720186018067,3.43351563418764
WLD,World,2001,33747838963540,2.02994447591411,3.83657262052543
