Year,Week,Region,Fregion,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2009,12,NE,1,9530,4640,2050,2570,-4.99,-5.69,-5.96,-6.88
2009,13,NE,1,9590,4640,2070,2510,-2.84,-4.53,0.49,-10.04
2009,14,NE,1,9260,4390,1930,2380,-4.83,-8.54,-9.81,-9.85
2009,15,NE,1,8470,4060,1730,2190,-16.22,-17.31,-20.28,-17.67
2009,16,NE,1,8260,3890,1650,2080,-15.8,-15.25,-17.09,-16.8
2009,17,NE,1,8850,4380,1920,2400,-6.65,-5.19,-3.03,-4.76
2009,18,NE,1,8800,4440,2020,2460,-0.45,-0.67,4.66,-0.4
2009,19,NE,1,8840,4390,1940,2460,-6.26,-7.58,-11.42,-7.87
2009,20,NE,1,8680,4330,1910,2350,-9.01,-10.35,-10.33,-11.99
2009,21,NE,1,8430,4060,1780,2280,-10.7,-13.06,-13.59,-11.63
2009,22,NE,1,6990,3440,1520,1890,-23.61,-24.4,-24.75,-25.3
2009,23,NE,1,8800,4230,1870,2250,20.71,15.89,16.88,10.29
2009,24,NE,1,8520,4160,1840,2260,-5.96,-6.52,-7.54,-8.87
2009,25,NE,1,8600,4210,1910,2260,4.5,3.19,4.95,-3.0
2009,26,NE,1,8260,3980,1740,2220,-1.9,-5.69,-4.4,-8.64
2009,27,NE,1,6750,3360,1460,1860,-7.02,-6.67,-11.52,-7.92
2009,28,NE,1,7980,3930,1720,2160,17.01,13.26,9.55,9.09
2009,29,NE,1,7900,3830,1670,2160,-3.19,-4.73,-6.18,-4.0
2009,30,NE,1,8010,3880,1680,2170,-4.19,-7.18,-4.0,-6.06
2009,31,NE,1,7900,3880,1700,2120,-5.95,-6.51,-7.61,-7.02
2009,32,NE,1,7680,3770,1590,2040,-7.69,-8.05,-8.62,-10.13
2009,33,NE,1,7580,3640,1570,1980,-22.02,-18.93,-24.52,-12.78
2009,34,NE,1,7370,3610,1580,1990,-8.79,-8.61,-11.73,-7.87
