filing_form,filing_date,period_end,duration,market_category,category_key,revenue_usd_millions
10-K,2023-02-24,"Jan. 29, 2023",12 Months Ended,Professional Visualization,ProfessionalVisualization,1544
10-K,2023-02-24,"Jan. 30, 2022",12 Months Ended,Professional Visualization,ProfessionalVisualization,2111
10-K,2023-02-24,"Jan. 31, 2021",12 Months Ended,Professional Visualization,ProfessionalVisualization,1053
10-K,2023-02-24,"Jan. 29, 2023",12 Months Ended,Automotive,Automotive,903
10-K,2023-02-24,"Jan. 30, 2022",12 Months Ended,Automotive,Automotive,566
10-K,2023-02-24,"Jan. 31, 2021",12 Months Ended,Automotive,Automotive,536
10-K,2023-02-24,"Jan. 29, 2023",12 Months Ended,OEM &amp; Other,OEMAndOther,455
10-K,2023-02-24,"Jan. 30, 2022",12 Months Ended,OEM &amp; Other,OEMAndOther,1162
10-K,2023-02-24,"Jan. 31, 2021",12 Months Ended,OEM &amp; Other,OEMAndOther,631
10-Q,2023-05-26,"Apr. 30, 2023",3 Months Ended,Total,Total,7192
10-Q,2023-05-26,"May 01, 2022",3 Months Ended,Total,Total,8288
10-Q,2023-05-26,"Apr. 30, 2023",3 Months Ended,Data Center,DataCenter,4284
10-Q,2023-05-26,"May 01, 2022",3 Months Ended,Data Center,DataCenter,3750
10-Q,2023-05-26,"Apr. 30, 2023",3 Months Ended,Gaming,Gaming,2240
10-Q,2023-05-26,"May 01, 2022",3 Months Ended,Gaming,Gaming,3620
10-Q,2023-05-26,"Apr. 30, 2023",3 Months Ended,Professional Visualization,ProfessionalVisualization,295
10-Q,2023-05-26,"May 01, 2022",3 Months Ended,Professional Visualization,ProfessionalVisualization,622
10-Q,2023-05-26,"Apr. 30, 2023",3 Months Ended,Automotive,Automotive,296
10-Q,2023-05-26,"May 01, 2022",3 Months Ended,Automotive,Automotive,138
10-Q,2023-05-26,"Apr. 30, 2023",3 Months Ended,OEM and Other,OEMAndOther,77
10-Q,2023-05-26,"May 01, 2022",3 Months Ended,OEM and Other,OEMAndOther,158
10-Q,2023-08-28,"Jul. 30, 2023",3 Months Ended,Total,Total,13507
10-Q,2023-08-28,"Jul. 31, 2022",3 Months Ended,Total,Total,6704
10-Q,2023-08-28,"Jul. 30, 2023",6 Months Ended,Total,Total,20699
10-Q,2023-08-28,"Jul. 31, 2022",6 Months Ended,Total,Total,14992
10-Q,2023-08-28,"Jul. 30, 2023",3 Months Ended,Data Center,DataCenter,10323
10-Q,2023-08-28,"Jul. 31, 2022",3 Months Ended,Data Center,DataCenter,3806
10-Q,2023-08-28,"Jul. 30, 2023",6 Months Ended,Data Center,DataCenter,14607
10-Q,2023-08-28,"Jul. 31, 2022",6 Months Ended,Data Center,DataCenter,7556
10-Q,2023-08-28,"Jul. 30, 2023",3 Months Ended,Gaming,Gaming,2486
10-Q,2023-08-28,"Jul. 31, 2022",3 Months Ended,Gaming,Gaming,2042
10-Q,2023-08-28,"Jul. 30, 2023",6 Months Ended,Gaming,Gaming,4726
10-Q,2023-08-28,"Jul. 31, 2022",6 Months Ended,Gaming,Gaming,5662
10-Q,2023-08-28,"Jul. 30, 2023",3 Months Ended,Professional Visualization,ProfessionalVisualization,379
10-Q,2023-08-28,"Jul. 31, 2022",3 Months Ended,Professional Visualization,ProfessionalVisualization,496
10-Q,2023-08-28,"Jul. 30, 2023",6 Months Ended,Professional Visualization,ProfessionalVisualization,674
10-Q,2023-08-28,"Jul. 31, 2022",6 Months Ended,Professional Visualization,ProfessionalVisualization,1118
10-Q,2023-08-28,"Jul. 30, 2023",3 Months Ended,Automotive,Automotive,253
10-Q,2023-08-28,"Jul. 31, 2022",3 Months Ended,Automotive,Automotive,220
10-Q,2023-08-28,"Jul. 30, 2023",6 Months Ended,Automotive,Automotive,549
10-Q,2023-08-28,"Jul. 31, 2022",6 Months Ended,Automotive,Automotive,358
10-Q,2023-08-28,"Jul. 30, 2023",3 Months Ended,OEM and Other,OEMAndOther,66
10-Q,2023-08-28,"Jul. 31, 2022",3 Months Ended,OEM and Other,OEMAndOther,140
10-Q,2023-08-28,"Jul. 30, 2023",6 Months Ended,OEM and Other,OEMAndOther,143
10-Q,2023-08-28,"Jul. 31, 2022",6 Months Ended,OEM and Other,OEMAndOther,298
10-Q,2023-11-21,"Oct. 29, 2023",3 Months Ended,Total,Total,18120
10-Q,2023-11-21,"Oct. 30, 2022",3 Months Ended,Total,Total,5931
10-Q,2023-11-21,"Oct. 29, 2023",9 Months Ended,Total,Total,38819
10-Q,2023-11-21,"Oct. 30, 2022",9 Months Ended,Total,Total,20923
10-Q,2023-11-21,"Oct. 29, 2023",3 Months Ended,Data Center,DataCenter,14514
10-Q,2023-11-21,"Oct. 30, 2022",3 Months Ended,Data Center,DataCenter,3833
10-Q,2023-11-21,"Oct. 29, 2023",9 Months Ended,Data Center,DataCenter,29121
10-Q,2023-11-21,"Oct. 30, 2022",9 Months Ended,Data Center,DataCenter,11389
10-Q,2023-11-21,"Oct. 29, 2023",3 Months Ended,Gaming,Gaming,2856
10-Q,2023-11-21,"Oct. 30, 2022",3 Months Ended,Gaming,Gaming,1574
10-Q,2023-11-21,"Oct. 29, 2023",9 Months Ended,Gaming,Gaming,7582
10-Q,2023-11-21,"Oct. 30, 2022",9 Months Ended,Gaming,Gaming,7236
10-Q,2023-11-21,"Oct. 29, 2023",3 Months Ended,Professional Visualization,ProfessionalVisualization,416
10-Q,2023-11-21,"Oct. 30, 2022",3 Months Ended,Professional Visualization,ProfessionalVisualization,200
10-Q,2023-11-21,"Oct. 29, 2023",9 Months Ended,Professional Visualization,ProfessionalVisualization,1090
10-Q,2023-11-21,"Oct. 30, 2022",9 Months Ended,Professional Visualization,ProfessionalVisualization,1318
10-Q,2023-11-21,"Oct. 29, 2023",3 Months Ended,Automotive,Automotive,261
10-Q,2023-11-21,"Oct. 30, 2022",3 Months Ended,Automotive,Automotive,251
10-Q,2023-11-21,"Oct. 29, 2023",9 Months Ended,Automotive,Automotive,810
10-Q,2023-11-21,"Oct. 30, 2022",9 Months Ended,Automotive,Automotive,609
10-Q,2023-11-21,"Oct. 29, 2023",3 Months Ended,OEM and Other,OEMAndOther,73
10-Q,2023-11-21,"Oct. 30, 2022",3 Months Ended,OEM and Other,OEMAndOther,73
10-Q,2023-11-21,"Oct. 29, 2023",9 Months Ended,OEM and Other,OEMAndOther,216
10-Q,2023-11-21,"Oct. 30, 2022",9 Months Ended,OEM and Other,OEMAndOther,371
10-K,2024-02-21,"Jan. 28, 2024",12 Months Ended,Total,Total,60922
10-K,2024-02-21,"Jan. 29, 2023",12 Months Ended,Total,Total,26974
10-K,2024-02-21,"Jan. 30, 2022",12 Months Ended,Total,Total,26914
10-K,2024-02-21,"Jan. 28, 2024",12 Months Ended,Data Center,DataCenter,47525
10-K,2024-02-21,"Jan. 29, 2023",12 Months Ended,Data Center,DataCenter,15005
10-K,2024-02-21,"Jan. 30, 2022",12 Months Ended,Data Center,DataCenter,10613
10-K,2024-02-21,"Jan. 28, 2024",12 Months Ended,Gaming,Gaming,10447
10-K,2024-02-21,"Jan. 29, 2023",12 Months Ended,Gaming,Gaming,9067
10-K,2024-02-21,"Jan. 30, 2022",12 Months Ended,Gaming,Gaming,12462
10-K,2024-02-21,"Jan. 28, 2024",12 Months Ended,Professional Visualization,ProfessionalVisualization,1553
10-K,2024-02-21,"Jan. 29, 2023",12 Months Ended,Professional Visualization,ProfessionalVisualization,1544
10-K,2024-02-21,"Jan. 30, 2022",12 Months Ended,Professional Visualization,ProfessionalVisualization,2111
10-K,2024-02-21,"Jan. 28, 2024",12 Months Ended,Automotive,Automotive,1091
10-K,2024-02-21,"Jan. 29, 2023",12 Months Ended,Automotive,Automotive,903
10-K,2024-02-21,"Jan. 30, 2022",12 Months Ended,Automotive,Automotive,566
10-K,2024-02-21,"Jan. 28, 2024",12 Months Ended,OEM and Other,OEMAndOther,306
10-K,2024-02-21,"Jan. 29, 2023",12 Months Ended,OEM and Other,OEMAndOther,455
10-K,2024-02-21,"Jan. 30, 2022",12 Months Ended,OEM and Other,OEMAndOther,1162
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,Total,Total,26044
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,Total,Total,7192
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,Data Center,DataCenter,22563
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,Data Center,DataCenter,4284
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,Compute,Compute,19392
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,Compute,Compute,3357
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,Networking,Networking,3171
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,Networking,Networking,927
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,Gaming,Gaming,2647
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,Gaming,Gaming,2240
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,Professional Visualization,ProfessionalVisualization,427
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,Professional Visualization,ProfessionalVisualization,295
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,Automotive,Automotive,329
10-Q,2024-05-29,"Apr. 30, 2023",3 Months Ended,Automotive,Automotive,296
10-Q,2024-05-29,"Apr. 28, 2024",3 Months Ended,OEM and Other,OEMAndOther,78
